,Naive_persistence,XGBoost,LSTM,LSTM_uncertainty,P05,P95
2024-12-31 23:00:00+00:00,0.52,78.90405,16.260609,7.8116527,3.345035362243653,29.346602439880364
2025-01-01 00:00:00+00:00,0.52,88.23122,10.914472,8.772433,-3.311093330383301,25.985289669036867
2025-01-01 01:00:00+00:00,0.52,85.87056,25.090612,9.529464,9.726189804077148,40.029274368286124
2025-01-01 02:00:00+00:00,0.52,80.02184,23.183603,9.188307,9.792276382446289,36.62527313232422
2025-01-01 03:00:00+00:00,0.52,78.56371,31.604492,9.005094,14.178516006469726,43.52105579376221
2025-01-01 04:00:00+00:00,0.52,86.03064,29.376854,7.8817363,16.61289691925049,41.086530876159664
2025-01-01 05:00:00+00:00,0.52,87.61278,30.394716,11.404001,12.959540176391602,48.901103019714355
2025-01-01 06:00:00+00:00,0.52,91.25729,38.583878,10.599756,22.27693099975586,55.23774375915527
2025-01-01 07:00:00+00:00,0.52,102.32704,45.918373,9.649731,31.074078941345217,61.415093040466296
2025-01-01 08:00:00+00:00,0.52,97.65204,48.972286,7.0835834,35.638159561157224,58.51300048828125
2025-01-01 09:00:00+00:00,0.52,90.99091,49.499916,12.2072,28.836167335510254,66.51679344177246
2025-01-01 10:00:00+00:00,0.52,88.80795,49.261547,11.265494,32.41707210540771,66.99542541503907
2025-01-01 11:00:00+00:00,0.52,95.91605,51.408337,10.288375,35.00553436279297,67.34151573181151
2025-01-01 12:00:00+00:00,0.52,95.80974,50.976055,11.971812,32.37601585388184,70.52848396301269
2025-01-01 13:00:00+00:00,0.52,83.113335,46.76957,12.602097,29.350025939941407,66.90221138000489
2025-01-01 14:00:00+00:00,0.52,88.18624,54.332497,9.502142,39.96976890563965,70.21481323242188
2025-01-01 15:00:00+00:00,0.52,120.74457,58.286163,10.17862,44.037896728515626,77.83183975219727
2025-01-01 16:00:00+00:00,0.52,122.28622,55.61309,9.21613,42.08310871124267,72.68539085388183
2025-01-01 17:00:00+00:00,0.52,118.64205,48.865913,11.97655,28.353850746154784,66.80794944763183
2025-01-01 18:00:00+00:00,0.52,116.04385,40.435406,10.871183,22.310533332824708,56.10260925292969
2025-01-01 19:00:00+00:00,0.52,108.3077,9.805341,10.580915,-8.339527893066407,24.75206499099731
2025-01-01 20:00:00+00:00,0.52,75.56087,-10.364098,7.9237084,-22.172633552551268,2.3440631389617907
2025-01-01 21:00:00+00:00,0.52,67.92022,-19.094471,11.340907,-35.26220073699951,-1.569258451461795
2025-01-01 22:00:00+00:00,0.52,56.11975,-30.114014,11.826463,-49.32783870697021,-12.237963962554936
