Date,Naive,XGBoost,LSTM,Ensemble
2024-12-31 23:00:00,61.8725,88.00464,61.19089066743851,74.59776466965675
2025-01-01 00:00:00,63.2,74.959236,60.91500444412232,67.93712029457092
2025-01-01 01:00:00,61.0575,73.72074,60.8245691460371,67.27265520900488
2025-01-01 02:00:00,58.6025,71.02767,63.666603603363036,67.34713770866394
2025-01-01 03:00:00,58.8975,65.08349,64.51194807052613,64.7977182674408
2025-01-01 04:00:00,61.6575,75.58362,66.81488344192505,71.19925080299377
2025-01-01 05:00:00,69.3,90.07757,71.93101458549499,81.00429131984711
2025-01-01 06:00:00,75.5075,100.660576,82.6635821533203,91.66207901000976
2025-01-01 07:00:00,83.2025,110.58253,85.02550746440888,97.8040173125267
2025-01-01 08:00:00,82.875,107.7001,82.09654897451401,94.89832636713982
2025-01-01 09:00:00,72.565,102.5658,77.42158550262451,89.99369451522827
2025-01-01 10:00:00,68.865,92.55552,81.38283370971679,86.96917640686036
2025-01-01 11:00:00,64.4875,93.13934,66.88796763420105,80.0136554479599
2025-01-01 12:00:00,59.1,94.20014,60.644231057167055,77.42218648195266
2025-01-01 13:00:00,57.334999999999994,96.27156,62.47390933990478,79.37273500442504
2025-01-01 14:00:00,60.685,101.60575,69.16896968841553,85.3873603630066
2025-01-01 15:00:00,64.0,119.75441,68.24653244018555,94.0004711151123
2025-01-01 16:00:00,71.855,128.29472,71.8526587726269,100.07369114168455
2025-01-01 17:00:00,65.345,125.7984,69.95840999603271,97.87840543746948
2025-01-01 18:00:00,51.085,121.10595,53.499642810821534,87.3027961063385
2025-01-01 19:00:00,36.5425,116.36988,37.88094423294067,77.1254124546051
2025-01-01 20:00:00,17.53,106.69399,23.80847671508789,65.25123466491699
2025-01-01 21:00:00,13.6825,102.949135,16.163420791625974,59.55627780914307
2025-01-01 22:00:00,3.8499999999999988,75.545105,10.740715122222898,43.14291005134582
