Experiment,RMSE,MAE
Cyclical Only,71.42539444887842,39.81013511042476
+Weekly Load,74.350892007584,42.608546588693095
+Fuels,74.53784645790935,42.96250070297023
+Load Forecast (All),74.88786661877302,43.22219997226056
