Model,RMSE,MAE
Naive_persistence,66.11512989069928,37.98725058004641
Naive_naive_24h,91.33460943490398,50.654675174013924
Naive_naive_7d,95.30590064856361,51.577093967517406
XGBoost,65.64301534348714,34.01028254495509
LSTM,83.30508877291386,47.68411844995141
