Model,RMSE,MAE,N_points,Delta_RMSE_vs_Naive,Delta_Pct_vs_Naive
Naive_persistence,66.1051872696888,38.02562246670527,1727,0.0,0.0
Naive_naive_24h,91.31184819912606,50.70061378112334,1727,25.206660929437263,38.13113912922121
Naive_naive_7d,95.23519493746558,51.55068326577881,1727,29.13000766777678,44.066144989402
XGBoost,63.80721592274895,32.903810775945,1703,-2.297971346939846,-3.4762345314367407
XGB_LagCyclical,74.59690860442943,40.90463350796658,1703,8.491721334740632,12.845771543006187
LSTM,37.481423260209986,15.945135564906751,1727,-28.623764009478812,-43.30032965900645
