Model,RMSE,MAE,N_points,Delta_RMSE_vs_Naive,Delta_Pct_vs_Naive
Naive_persistence,66.1051872696888,38.02562246670527,1727,0.0,0.0
Naive_naive_24h,91.31184819912606,50.70061378112334,1727,25.206660929437263,38.13113912922121
Naive_naive_7d,95.23519493746558,51.55068326577881,1727,29.13000766777678,44.066144989402
XGBoost,31.640586106436405,26.50969292400968,1703,-34.4646011632524,-52.13600110177049
XGB_LagCyclical,47.788057162380476,34.564248696680515,1703,-18.317130107308323,-27.709066207739607
LSTM,55.79123098729872,26.0236402135754,1727,-10.31395628239008,-15.60234031304127
