,Naive_persistence,XGBoost,LSTM,LSTM_uncertainty,P05,P95
2024-12-31 23:00:00+00:00,0.52,83.88967,92.02581,7.2407556,81.1203224182129,103.81106567382812
2025-01-01 00:00:00+00:00,0.52,83.54941,96.0927,6.943771,83.9308982849121,107.15319213867187
2025-01-01 01:00:00+00:00,0.52,80.07986,94.35527,7.9677873,82.10481758117676,106.65156784057616
2025-01-01 02:00:00+00:00,0.52,77.502525,96.57324,8.334779,82.18369026184082,108.27271766662597
2025-01-01 03:00:00+00:00,0.52,75.93752,95.696,7.6886587,85.32027206420898,109.41222381591797
2025-01-01 04:00:00+00:00,0.52,79.98984,94.67343,7.213103,85.33938751220703,108.10604667663574
2025-01-01 05:00:00+00:00,0.52,82.29859,93.89074,7.265552,81.26689300537109,104.1529312133789
2025-01-01 06:00:00+00:00,0.52,88.57358,92.060646,8.064136,79.40393714904785,106.05237083435058
2025-01-01 07:00:00+00:00,0.52,99.34063,89.856,8.013789,77.07632255554199,104.61081657409667
2025-01-01 08:00:00+00:00,0.52,97.96405,88.36244,7.316131,77.37119636535644,100.22198486328125
2025-01-01 09:00:00+00:00,0.52,90.600815,86.81146,6.660188,76.66882591247558,99.08799095153809
2025-01-01 10:00:00+00:00,0.52,87.34641,84.2779,6.967062,72.08250885009765,95.50139846801757
2025-01-01 11:00:00+00:00,0.52,88.20988,85.46219,5.481792,77.8951572418213,95.92674255371094
2025-01-01 12:00:00+00:00,0.52,87.38353,83.5793,6.7350636,74.05277366638184,94.32727394104003
2025-01-01 13:00:00+00:00,0.52,82.41166,82.929924,5.72001,73.21109733581542,92.46856231689452
2025-01-01 14:00:00+00:00,0.52,86.5798,85.47935,7.09436,75.72513999938965,96.46977424621582
2025-01-01 15:00:00+00:00,0.52,103.67833,84.295166,5.96984,76.298384475708,94.00690078735352
2025-01-01 16:00:00+00:00,0.52,113.466545,83.4683,6.8785353,74.74520416259766,96.26004981994629
2025-01-01 17:00:00+00:00,0.52,116.42016,85.60927,6.2056613,76.41750679016113,96.57354087829589
2025-01-01 18:00:00+00:00,0.52,111.00268,86.74076,6.2622294,77.3612777709961,98.74426383972167
2025-01-01 19:00:00+00:00,0.52,100.594246,86.074295,6.5459137,75.12536239624023,97.96883964538574
2025-01-01 20:00:00+00:00,0.52,81.18816,87.478294,6.3636847,78.42055397033691,99.3220890045166
2025-01-01 21:00:00+00:00,0.52,72.686615,88.881165,5.2937846,80.30129127502441,98.1725357055664
2025-01-01 22:00:00+00:00,0.52,63.28954,88.16168,6.1321335,78.16868476867675,98.32403717041015
