Model,RMSE,MAE,N_points,Delta_RMSE_vs_Naive,Delta_Pct_vs_Naive
Naive_persistence,66.1051872696888,38.02562246670527,1727,0.0,0.0
Naive_naive_24h,91.31184819912606,50.70061378112334,1727,25.206660929437263,38.13113912922121
Naive_naive_7d,95.23519493746558,51.55068326577881,1727,29.13000766777678,44.066144989402
XGBoost,64.76091590884995,33.48344169200062,1703,-1.344271360838846,-2.0335338516698136
XGB_LagCyclical,74.59690860442943,40.90463350796658,1703,8.491721334740632,12.845771543006187
LSTM,76.16738584316143,41.088989444703955,1727,10.062198573472628,15.221496207887524
