Model,RMSE,MAE
Naive_persistence,65.8955538952704,38.14212293682413
Naive_naive_24h,90.97771737953316,50.86790552077405
Naive_naive_7d,94.5867008909271,51.29516220830962
XGBoost,74.88786661877302,43.22219997226056
LSTM,74.86448955728092,41.87104641006892
